time,band1,band2,band3,band4,band5
41.8,12000.001,14000.001,3440.0002,1960.0001,580.00006
41.9,8740.001,8450.001,1560.0001,1430.0001,440.00003
42.0,4980.0005,3820.0002,930.00006,550.00006,140.00002
42.1,4200.0005,3220.0002,610.00006,570.00006,190.00002
42.2,3990.0002,3240.0002,760.00006,460.00003,90.00001
42.3,4770.0005,4630.0005,1140.0001,860.00006,230.00002
42.4,6700.0005,6340.0005,1520.0001,920.00006,260.00003
42.5,8470.001,8540.001,1800.0001,1280.0001,450.00003
42.6,7930.0005,7410.0005,1350.0001,770.00006,220.00002
42.7,9070.001,8780.001,1910.0001,1060.0001,510.00003
42.8,7590.0005,6920.0005,1690.0001,870.00006,360.00003
42.9,7490.0005,6610.0005,1290.0001,830.00006,290.00003
43.0,6150.0005,4930.0005,1060.0001,680.00006,310.00003
43.1,4330.0005,2960.0002,580.00006,450.00003,190.00002
43.2,5400.0005,4670.0005,910.00006,640.00006,300.00003
43.3,6760.0005,6410.0005,1340.0001,1010.00006,460.00003
43.4,5970.0005,4500.0005,990.00006,620.00006,220.00002
43.5,5690.0005,4300.0005,920.00006,590.00006,200.00002
43.6,6110.0005,5160.0005,1090.0001,670.00006,270.00003
43.7,7230.0005,5850.0005,1170.0001,660.00006,340.00003
43.8,6710.0005,5810.0005,1130.0001,710.00006,200.00002
43.9,5520.0005,4670.0005,920.00006,530.00006,140.00002
